Sidra,Number of Verses,Rashi Verse Count,Rashi Comments,Rashi Verse Ratio,Rashi Comment Ratio,Ibn Ezra Verse Count,Ibn Ezra Comments,Ibn Ezra Verse Ratio,Ibn Ezra Comment Ratio,Ramban Verse Count,Ramban Comments,Ramban Verse Ratio,Ramban Comment Ratio,Rashbam Verse Count,Rashbam Comments,Rashbam Verse Ratio,Rashbam Comment Ratio,Sforno Verse Count,Sforno Comments,Sforno Verse Ratio,Sforno Comment Ratio
Chukat,87,66,140,0.7586206896551724,1.6091954022988506,59,101,0.6781609195402298,1.160919540229885,24,28,0.27586206896551724,0.3218390804597701,21,31,0.2413793103448276,0.3563218390804598,25,33,0.28735632183908044,0.3793103448275862
Balak,104,84,175,0.8076923076923077,1.6826923076923077,77,146,0.7403846153846154,1.4038461538461537,33,35,0.3173076923076923,0.33653846153846156,38,54,0.36538461538461536,0.5192307692307693,52,90,0.5,0.8653846153846154
Pinchas,168,73,120,0.43452380952380953,0.7142857142857143,49,71,0.2916666666666667,0.4226190476190476,24,24,0.14285714285714285,0.14285714285714285,0,0,0.0,0.0,18,22,0.10714285714285714,0.13095238095238096
Devarim,105,76,141,0.7238095238095238,1.3428571428571427,59,81,0.5619047619047619,0.7714285714285715,29,31,0.2761904761904762,0.29523809523809524,19,36,0.18095238095238095,0.34285714285714286,29,40,0.2761904761904762,0.38095238095238093
Vaetchanan,122,67,115,0.5491803278688525,0.9426229508196722,73,126,0.5983606557377049,1.0327868852459017,43,49,0.3524590163934426,0.4016393442622951,26,32,0.21311475409836064,0.26229508196721313,55,78,0.45081967213114754,0.639344262295082
Eikev,111,54,100,0.4864864864864865,0.9009009009009009,59,94,0.5315315315315315,0.8468468468468469,43,44,0.38738738738738737,0.3963963963963964,22,30,0.1981981981981982,0.2702702702702703,48,79,0.43243243243243246,0.7117117117117117
Re'eh,126,107,213,0.8492063492063492,1.6904761904761905,82,144,0.6507936507936508,1.1428571428571428,31,36,0.24603174603174602,0.2857142857142857,36,41,0.2857142857142857,0.3253968253968254,48,81,0.38095238095238093,0.6428571428571429
Shoftim,97,75,144,0.7731958762886598,1.4845360824742269,62,108,0.6391752577319587,1.1134020618556701,38,39,0.3917525773195876,0.4020618556701031,24,36,0.24742268041237114,0.3711340206185567,33,49,0.3402061855670103,0.5051546391752577
Ki Teitzei,110,94,171,0.8545454545454545,1.5545454545454545,84,163,0.7636363636363637,1.481818181818182,36,38,0.32727272727272727,0.34545454545454546,31,36,0.2818181818181818,0.32727272727272727,34,43,0.3090909090909091,0.39090909090909093
Ki Tavo,122,64,120,0.5245901639344263,0.9836065573770492,76,133,0.6229508196721312,1.0901639344262295,19,23,0.1557377049180328,0.1885245901639344,33,38,0.27049180327868855,0.3114754098360656,28,46,0.22950819672131148,0.3770491803278688
Vayeilech,30,18,25,0.6,0.8333333333333334,21,37,0.7,1.2333333333333334,12,13,0.4,0.43333333333333335,1,2,0.03333333333333333,0.06666666666666667,17,32,0.5666666666666667,1.0666666666666667
Vayakhel,122,26,37,0.21311475409836064,0.30327868852459017,36,48,0.29508196721311475,0.39344262295081966,11,14,0.09016393442622951,0.11475409836065574,12,15,0.09836065573770492,0.12295081967213115,14,22,0.11475409836065574,0.18032786885245902
Pekudei,92,24,33,0.2608695652173913,0.358695652173913,17,20,0.18478260869565216,0.21739130434782608,17,19,0.18478260869565216,0.20652173913043478,6,8,0.06521739130434782,0.08695652173913043,13,19,0.14130434782608695,0.20652173913043478
Tazria,67,46,88,0.6865671641791045,1.3134328358208955,40,80,0.5970149253731343,1.1940298507462686,13,13,0.19402985074626866,0.19402985074626866,14,21,0.208955223880597,0.31343283582089554,13,15,0.19402985074626866,0.22388059701492538
Metzora,90,47,82,0.5222222222222223,0.9111111111111111,52,80,0.5777777777777777,0.8888888888888888,10,10,0.1111111111111111,0.1111111111111111,13,17,0.14444444444444443,0.18888888888888888,15,19,0.16666666666666666,0.2111111111111111
Achrei Mot,80,55,108,0.6875,1.35,59,103,0.7375,1.2875,31,31,0.3875,0.3875,15,17,0.1875,0.2125,34,43,0.425,0.5375
Kedoshim,64,54,114,0.84375,1.78125,58,128,0.90625,2.0,18,18,0.28125,0.28125,25,38,0.390625,0.59375,28,41,0.4375,0.640625
Behar,57,53,110,0.9298245614035088,1.9298245614035088,47,80,0.8245614035087719,1.4035087719298245,21,21,0.3684210526315789,0.3684210526315789,15,18,0.2631578947368421,0.3157894736842105,30,45,0.5263157894736842,0.7894736842105263
Bechukotai,78,65,156,0.8333333333333334,2.0,61,113,0.782051282051282,1.4487179487179487,16,16,0.20512820512820512,0.20512820512820512,29,37,0.3717948717948718,0.47435897435897434,23,44,0.2948717948717949,0.5641025641025641
Matot,112,58,93,0.5178571428571429,0.8303571428571429,63,88,0.5625,0.7857142857142857,23,27,0.20535714285714285,0.24107142857142858,10,14,0.08928571428571429,0.125,24,32,0.21428571428571427,0.2857142857142857
Masei,132,52,81,0.3939393939393939,0.6136363636363636,45,58,0.3409090909090909,0.4393939393939394,13,13,0.09848484848484848,0.09848484848484848,17,21,0.12878787878787878,0.1590909090909091,13,16,0.09848484848484848,0.12121212121212122
Nitzavim,40,23,40,0.575,1.0,27,43,0.675,1.075,15,16,0.375,0.4,5,8,0.125,0.2,26,46,0.65,1.15
